100 500 1051

3 38 18 15 98 87 25 54 7 79 88 67 34 73 66 72 63 90 20 42 72 90 11 67 41 88 25 61 64 76 92 45 17 98 93 44 53 27 5 49 63 24 56 95 97 61 18 21 89 48 18 11 57 54 97 43 90 4 2 70 87 35 48 18 25 53 41 87 55 77 69 54 6 73 72 14 48 87 58 90 74 68 56 84 9 76 5 43 17 33 70 65 45 69 92 19 73 48 94 17

76 99 16 81 15 72 5 80 20 61 29 54 71 58 3 44 25 79 19 56 40 94 42 56 12 41 61 84 35 94 36 29 91 63 83 86 83 71 100 25 40 21 93 55 46 90 47 3 44 51 64 85 2 35 68 21 22 70 98 29 54 70 55 6 49 76 91 32 60 87 58 59 27 5 2 51 6 96 71 6 22 5 70 97 62 97 74 36 68 82 51 49 16 67 47 76 67 63 8 68

 24 97 
 18 26 
 13 97 
 59 64 
 47 71 
 55 93 
 17 76 
 36 89 
 28 85 
 5 83 
 9 81 
 5 92 
 29 68 
 33 38 
 44 47 
 39 81 
 31 86 
 23 91 
 51 73 
 3 42 
 51 91 
 47 57 
 55 70 
 59 68 
 9 49 
 9 58 
 29 36 
 21 41 
 6 52 
 42 82 
 30 98 
 54 83 
 31 90 
 32 55 
 2 54 
 22 32 
 4 82 
 3 28 
 36 43 
 43 91 
 17 48 
 47 61 
 68 93 
 28 66 
 29 31 
 28 75 
 6 38 
 9 71 
 61 72 
 80 85 
 27 79 
 58 94 
 50 90 
 91 100 
 2 31 
 35 46 
 31 94 
 20 94 
 24 55 
 51 81 
 53 100 
 16 60 
 13 82 
 46 97 
 6 24 
 50 58 
 61 67 
 40 44 
 77 93 
 61 76 
 6 51 
 58 89 
 61 85 
 69 98 
 30 79 
 27 92 
 31 53 
 62 68 
 25 28 
 13 32 
 43 45 
 31 89 
 4 72 
 51 67 
 32 63 
 87 97 
 1 57 
 65 69 
 4 99 
 56 100 
 5 45 
 28 47 
 49 79 
 28 56 
 15 86 
 6 37 
 42 58 
 80 84 
 31 57 
 20 57 
 4 58 
 24 45 
 64 90 
 56 86 
 1 61 
 1 70 
 5 31 
 76 82 
 49 83 
 68 96 
 50 57 
 27 55 
 18 86 
 42 71 
 27 82 
 61 84 
 42 80 
 23 39 
 75 86 
 60 97 
 4 44 
 12 57 
 13 31 
 35 40 
 34 72 
 64 85 
 35 58 
 22 88 
