class,mult,type,subtype,density,ub_l2,alpha,ascending
C,15,1,1,0.9,582,1,1
C,15,1,1,0.9,897,2,0
C,15,1,1,0.9,664,2,1
C,15,1,1,0.9,1028,3,0
C,15,1,1,0.9,645,3,1
C,15,4,1,0.4,14731,-3,0
C,15,4,1,0.4,13125,-3,1
C,15,4,1,0.4,14309,-2,0
C,15,4,1,0.4,12816,-2,1
C,15,4,1,0.4,14288,-1,0
C,15,4,1,0.4,12460,-1,1
C,15,4,1,0.4,14445,-0.5,0
C,15,4,1,0.4,12003,-0.5,1
C,15,4,1,0.4,14794,0.5,0
C,15,4,1,0.4,11913,0.5,1
C,15,4,1,0.4,14891,1,0
C,15,4,1,0.4,12220,1,1
C,15,4,1,0.4,14985,2,0
C,15,4,1,0.4,12972,2,1
C,15,4,1,0.4,15395,3,0
C,15,4,1,0.4,13219,3,1
C,15,4,1,0.3,16940,-3,0
C,15,4,1,0.3,16184,-3,1
C,15,4,1,0.3,16900,-2,0
C,15,4,1,0.3,15784,-2,1
C,15,4,1,0.3,16900,-1,0
C,15,4,1,0.3,15247,-1,1
C,15,4,1,0.3,16930,-0.5,0
C,15,4,1,0.3,14849,-0.5,1
C,15,4,1,0.3,16970,0.5,0
C,15,4,1,0.3,14628,0.5,1
C,15,4,1,0.3,16920,1,0
C,15,4,1,0.3,14997,1,1
C,15,4,1,0.3,16960,2,0
C,15,4,1,0.3,15397,2,1
C,15,4,1,0.3,16980,3,0
C,15,4,1,0.3,15888,3,1
C,15,4,1,0.2,17390,-3,0
C,15,4,1,0.2,17430,-3,1
C,15,4,1,0.2,17420,-2,0
C,15,4,1,0.2,17480,-2,1
C,15,4,1,0.2,17420,-1,0
C,15,4,1,0.2,17450,-1,1
C,15,4,1,0.2,17450,-0.5,0
C,15,4,1,0.2,17460,-0.5,1
C,15,4,1,0.2,17470,0.5,0
C,15,4,1,0.2,17410,0.5,1
C,15,4,1,0.2,17430,1,0
C,15,4,1,0.2,17400,1,1
C,15,4,1,0.2,17420,2,0
C,15,4,1,0.2,17410,2,1
C,15,4,1,0.2,17430,3,0
C,15,4,1,0.2,17350,3,1
C,15,4,1,0.1,17990,-3,0
C,15,4,1,0.1,18220,-3,1
C,15,4,1,0.1,17940,-2,0
C,15,4,1,0.1,18140,-2,1
C,15,4,1,0.1,17900,-1,0
C,15,4,1,0.1,18180,-1,1
C,15,4,1,0.1,17890,-0.5,0
C,15,4,1,0.1,18170,-0.5,1
C,15,4,1,0.1,17880,0.5,0
C,15,4,1,0.1,18150,0.5,1
C,15,4,1,0.1,17900,1,0
C,15,4,1,0.1,18190,1,1
C,15,4,1,0.1,17960,2,0
C,15,4,1,0.1,18190,2,1
C,15,4,1,0.1,18010,3,0
C,15,4,1,0.1,18180,3,1
C,15,4,1,0.5,12231,-3,0
C,15,4,1,0.5,10937,-3,1
C,15,4,1,0.5,12344,-2,0
C,15,4,1,0.5,10481,-2,1
C,15,4,1,0.5,11886,-1,0
C,15,4,1,0.5,10217,-1,1
C,15,4,1,0.5,11973,-0.5,0
C,15,4,1,0.5,9677,-0.5,1
C,15,4,1,0.5,12172,0.5,0
C,15,4,1,0.5,9527,0.5,1
C,15,4,1,0.5,12282,1,0
C,15,4,1,0.5,10100,1,1
C,15,4,1,0.5,12777,2,0
C,15,4,1,0.5,10486,2,1
C,15,4,1,0.5,12734,3,0
C,15,4,1,0.5,10645,3,1
C,15,4,1,0.6,9993,-3,0
C,15,4,1,0.6,8993,-3,1
C,15,4,1,0.6,9790,-2,0
C,15,4,1,0.6,8492,-2,1
C,15,4,1,0.6,9725,-1,0
C,15,4,1,0.6,8028,-1,1
C,15,4,1,0.6,9809,-0.5,0
C,15,4,1,0.6,7806,-0.5,1
C,15,4,1,0.6,9914,0.5,0
C,15,4,1,0.6,7654,0.5,1
C,15,4,1,0.6,10181,1,0
C,15,4,1,0.6,7922,1,1
C,15,4,1,0.6,9920,2,0
C,15,4,1,0.6,8279,2,1
C,15,4,1,0.6,10201,3,0
C,15,4,1,0.6,8466,3,1
C,15,5,1,0.1,10997,-3,0
C,15,5,1,0.1,13338,-3,1
C,15,5,1,0.1,10997,-2,0
C,15,5,1,0.1,13338,-2,1
C,15,5,1,0.1,10997,-1,0
C,15,5,1,0.1,12974,-1,1
C,15,5,1,0.1,11250,-0.5,0
C,15,5,1,0.1,13518,-0.5,1
C,15,5,1,0.1,12507,0.5,0
C,15,5,1,0.1,11238,0.5,1
C,15,5,1,0.1,12911,1,0
C,15,5,1,0.1,10932,1,1
C,15,5,1,0.1,12911,2,0
C,15,5,1,0.1,10932,2,1
C,15,5,1,0.1,12911,3,0
C,15,5,1,0.1,10932,3,1
C,15,5,1,0.2,9398,-3,0
C,15,5,1,0.2,9642,-3,1
C,15,5,1,0.2,9398,-2,0
C,15,5,1,0.2,9642,-2,1
C,15,5,1,0.2,9851,-1,0
C,15,5,1,0.2,9642,-1,1
C,15,5,1,0.2,9887,-0.5,0
C,15,5,1,0.2,9417,-0.5,1
C,15,5,1,0.2,9981,0.5,0
C,15,5,1,0.2,9327,0.5,1
C,15,5,1,0.2,9740,1,0
C,15,5,1,0.2,9402,1,1
C,15,5,1,0.2,10003,2,0
C,15,5,1,0.2,9567,2,1
C,15,5,1,0.2,10003,3,0
C,15,5,1,0.2,9567,3,1
C,15,5,1,0.3,8009,-3,0
C,15,5,1,0.3,8834,-3,1
C,15,5,1,0.3,8009,-2,0
C,15,5,1,0.3,8834,-2,1
C,15,5,1,0.3,7633,-1,0
C,15,5,1,0.3,8834,-1,1
C,15,5,1,0.3,7285,-0.5,0
C,15,5,1,0.3,9087,-0.5,1
C,15,5,1,0.3,8453,0.5,0
C,15,5,1,0.3,7557,0.5,1
C,15,5,1,0.3,8486,1,0
C,15,5,1,0.3,7804,1,1
C,15,5,1,0.3,8486,2,0
C,15,5,1,0.3,7804,2,1
C,15,5,1,0.3,8486,3,0
C,15,5,1,0.3,7804,3,1
C,15,5,1,0.4,6860,-3,0
C,15,5,1,0.4,7296,-3,1
C,15,5,1,0.4,6860,-2,0
C,15,5,1,0.4,7296,-2,1
C,15,5,1,0.4,6860,-1,0
C,15,5,1,0.4,7516,-1,1
C,15,5,1,0.4,7178,-0.5,0
C,15,5,1,0.4,7427,-0.5,1
C,15,5,1,0.4,7839,0.5,0
C,15,5,1,0.4,6883,0.5,1
C,15,5,1,0.4,8131,1,0
C,15,5,1,0.4,6692,1,1
C,15,5,1,0.4,8131,2,0
C,15,5,1,0.4,6580,2,1
C,15,5,1,0.4,8131,3,0
C,15,5,1,0.4,6580,3,1
C,15,5,1,0.5,5642,-3,0
C,15,5,1,0.5,6155,-3,1
C,15,5,1,0.5,5642,-2,0
C,15,5,1,0.5,6155,-2,1
C,15,5,1,0.5,5642,-1,0
C,15,5,1,0.5,5961,-1,1
C,15,5,1,0.5,5642,-0.5,0
C,15,5,1,0.5,6045,-0.5,1
C,15,5,1,0.5,6788,0.5,0
C,15,5,1,0.5,5420,0.5,1
C,15,5,1,0.5,6655,1,0
C,15,5,1,0.5,5676,1,1
C,15,5,1,0.5,6655,2,0
C,15,5,1,0.5,5676,2,1
C,15,5,1,0.5,6655,3,0
C,15,5,1,0.5,5676,3,1
C,15,5,1,0.6,4805,-3,0
C,15,5,1,0.6,5212,-3,1
C,15,5,1,0.6,4805,-2,0
C,15,5,1,0.6,5212,-2,1
C,15,5,1,0.6,4805,-1,0
C,15,5,1,0.6,5212,-1,1
C,15,5,1,0.6,4946,-0.5,0
C,15,5,1,0.6,5467,-0.5,1
C,15,5,1,0.6,5893,0.5,0
C,15,5,1,0.6,4387,0.5,1
C,15,5,1,0.6,5574,1,0
C,15,5,1,0.6,4774,1,1
C,15,5,1,0.6,5295,2,0
C,15,5,1,0.6,5191,2,1
C,15,5,1,0.6,5295,3,0
C,15,5,1,0.6,5191,3,1
C,15,5,1,0.7,3894,-3,0
C,15,5,1,0.7,5101,-3,1
C,15,5,1,0.7,3894,-2,0
C,15,5,1,0.7,5101,-2,1
C,15,5,1,0.7,3894,-1,0
C,15,5,1,0.7,5101,-1,1
C,15,5,1,0.7,3995,-0.5,0
C,15,5,1,0.7,4773,-0.5,1
C,15,5,1,0.7,4835,0.5,0
C,15,5,1,0.7,3962,0.5,1
C,15,5,1,0.7,4835,1,0
C,15,5,1,0.7,4009,1,1
C,15,5,1,0.7,4835,2,0
C,15,5,1,0.7,4009,2,1
C,15,5,1,0.7,4835,3,0
C,15,5,1,0.7,4009,3,1
C,15,4,1,0.8,5611,-3,0
C,15,4,1,0.8,4885,-3,1
C,15,4,1,0.8,5458,-2,0
C,15,4,1,0.8,4509,-2,1
C,15,4,1,0.8,5510,-1,0
C,15,4,1,0.8,4305,-1,1
C,15,4,1,0.8,5499,-0.5,0
C,15,4,1,0.8,4244,-0.5,1
C,15,4,1,0.8,5749,0.5,0
C,15,4,1,0.8,4102,0.5,1
C,15,4,1,0.8,5625,1,0
C,15,4,1,0.8,4255,1,1
C,15,4,1,0.8,5863,2,0
C,15,4,1,0.8,4401,2,1
C,15,4,1,0.8,5841,3,0
C,15,4,1,0.8,4561,3,1
C,15,4,1,0.7,7521,-3,0
C,15,4,1,0.7,6906,-3,1
C,15,4,1,0.7,7259,-2,0
C,15,4,1,0.7,6548,-2,1
C,15,4,1,0.7,7510,-1,0
C,15,4,1,0.7,6230,-1,1
C,15,4,1,0.7,7697,-0.5,0
C,15,4,1,0.7,5851,-0.5,1
C,15,4,1,0.7,7904,0.5,0
C,15,4,1,0.7,5787,0.5,1
C,15,4,1,0.7,7955,1,0
C,15,4,1,0.7,5995,1,1
C,15,4,1,0.7,7838,2,0
C,15,4,1,0.7,6317,2,1
C,15,4,1,0.7,8078,3,0
C,15,4,1,0.7,6582,3,1
C,15,5,1,0.8,3218,-3,0
C,15,5,1,0.8,3580,-3,1
C,15,5,1,0.8,3218,-2,0
C,15,5,1,0.8,3580,-2,1
C,15,5,1,0.8,2863,-1,0
C,15,5,1,0.8,3152,-1,1
C,15,5,1,0.8,2863,-0.5,0
C,15,5,1,0.8,3642,-0.5,1
C,15,5,1,0.8,3732,0.5,0
C,15,5,1,0.8,2728,0.5,1
C,15,5,1,0.8,3584,1,0
C,15,5,1,0.8,2832,1,1
C,15,5,1,0.8,3616,2,0
C,15,5,1,0.8,2832,2,1
C,15,5,1,0.8,3616,3,0
C,15,5,1,0.8,2832,3,1
C,15,5,1,0.9,2313,-3,0
C,15,5,1,0.9,2302,-3,1
C,15,5,1,0.9,2313,-2,0
C,15,5,1,0.9,2302,-2,1
C,15,5,1,0.9,2313,-1,0
C,15,5,1,0.9,2302,-1,1
C,15,5,1,0.9,1931,-0.5,0
C,15,5,1,0.9,2594,-0.5,1
C,15,5,1,0.9,2285,0.5,0
C,15,5,1,0.9,2192,0.5,1
C,15,5,1,0.9,2233,1,0
C,15,5,1,0.9,1925,1,1
C,15,5,1,0.9,2233,2,0
C,15,5,1,0.9,1947,2,1
C,15,5,1,0.9,2233,3,0
C,15,5,1,0.9,1947,3,1
C,15,8,1,0.3,15590,-3,0
C,15,8,1,0.3,15590,-3,1
C,15,8,1,0.3,15590,-2,0
C,15,8,1,0.3,15590,-2,1
C,15,8,1,0.3,15590,-1,0
C,15,8,1,0.3,15590,-1,1
C,15,8,1,0.3,15590,-0.5,0
C,15,8,1,0.3,15590,-0.5,1
C,15,8,1,0.3,15590,0.5,0
C,15,8,1,0.3,15590,0.5,1
C,15,8,1,0.3,15590,1,0
C,15,8,1,0.3,15590,1,1
C,15,8,1,0.3,15590,2,0
C,15,8,1,0.3,15590,2,1
C,15,8,1,0.3,15590,3,0
C,15,8,1,0.3,15590,3,1
C,15,8,1,0.2,15590,-3,0
C,15,8,1,0.2,15590,-3,1
C,15,8,1,0.2,15590,-2,0
C,15,8,1,0.2,15590,-2,1
C,15,8,1,0.2,15590,-1,0
C,15,8,1,0.2,15590,-1,1
C,15,8,1,0.2,15590,-0.5,0
C,15,8,1,0.2,15590,-0.5,1
C,15,8,1,0.2,15590,0.5,0
C,15,8,1,0.2,15590,0.5,1
C,15,8,1,0.2,15590,1,0
C,15,8,1,0.2,15590,1,1
C,15,8,1,0.2,15590,2,0
C,15,8,1,0.2,15590,2,1
C,15,8,1,0.2,15590,3,0
C,15,8,1,0.2,15590,3,1
C,15,8,1,0.1,15590,-3,0
C,15,8,1,0.1,15590,-3,1
C,15,8,1,0.1,15590,-2,0
C,15,8,1,0.1,15590,-2,1
C,15,8,1,0.1,15590,-1,0
C,15,8,1,0.1,15590,-1,1
C,15,8,1,0.1,15590,-0.5,0
C,15,8,1,0.1,15590,-0.5,1
C,15,8,1,0.1,15590,0.5,0
C,15,8,1,0.1,15590,0.5,1
C,15,8,1,0.1,15590,1,0
C,15,8,1,0.1,15590,1,1
C,15,8,1,0.1,15590,2,0
C,15,8,1,0.1,15590,2,1
C,15,8,1,0.1,15590,3,0
C,15,8,1,0.1,15590,3,1
C,15,8,1,0.4,15590,-3,0
C,15,8,1,0.4,15590,-3,1
C,15,8,1,0.4,15590,-2,0
C,15,8,1,0.4,15590,-2,1
C,15,8,1,0.4,15590,-1,0
C,15,8,1,0.4,15590,-1,1
C,15,8,1,0.4,15590,-0.5,0
C,15,8,1,0.4,15590,-0.5,1
C,15,8,1,0.4,15590,0.5,0
C,15,8,1,0.4,15590,0.5,1
C,15,8,1,0.4,15590,1,0
C,15,8,1,0.4,15590,1,1
C,15,8,1,0.4,15590,2,0
C,15,8,1,0.4,15590,2,1
C,15,8,1,0.4,15590,3,0
C,15,8,1,0.4,15590,3,1
C,15,8,1,0.5,15590,-3,0
C,15,8,1,0.5,15590,-3,1
C,15,8,1,0.5,15590,-2,0
C,15,8,1,0.5,15590,-2,1
C,15,8,1,0.5,15590,-1,0
C,15,8,1,0.5,15590,-1,1
C,15,8,1,0.5,15580,-0.5,0
C,15,8,1,0.5,15590,-0.5,1
C,15,8,1,0.5,15580,0.5,0
C,15,8,1,0.5,15580,0.5,1
C,15,8,1,0.5,15580,1,0
C,15,8,1,0.5,15590,1,1
C,15,8,1,0.5,15580,2,0
C,15,8,1,0.5,15590,2,1
C,15,8,1,0.5,15590,3,0
C,15,8,1,0.5,15590,3,1
C,15,8,1,0.6,15570,-3,0
C,15,8,1,0.6,15580,-3,1
C,15,8,1,0.6,15550,-2,0
C,15,8,1,0.6,15580,-2,1
C,15,8,1,0.6,15560,-1,0
C,15,8,1,0.6,15590,-1,1
C,15,8,1,0.6,15540,-0.5,0
C,15,8,1,0.6,15590,-0.5,1
C,15,8,1,0.6,15570,0.5,0
C,15,8,1,0.6,15560,0.5,1
C,15,8,1,0.6,15580,1,0
C,15,8,1,0.6,15550,1,1
C,15,8,1,0.6,15580,2,0
C,15,8,1,0.6,15570,2,1
C,15,8,1,0.6,15580,3,0
C,15,8,1,0.6,15560,3,1
C,15,8,1,0.8,14612,-3,0
C,15,8,1,0.8,15203,-3,1
C,15,8,1,0.8,14537,-2,0
C,15,8,1,0.8,15340,-2,1
C,15,8,1,0.8,14989,-1,0
C,15,8,1,0.8,15350,-1,1
C,15,8,1,0.8,14430,-0.5,0
C,15,8,1,0.8,14321,-0.5,1
C,15,8,1,0.8,15330,0.5,0
C,15,8,1,0.8,13616,0.5,1
C,15,8,1,0.8,15330,1,0
C,15,8,1,0.8,14482,1,1
C,15,8,1,0.8,15340,2,0
C,15,8,1,0.8,14482,2,1
C,15,8,1,0.8,15340,3,0
C,15,8,1,0.8,14424,3,1
C,1,1,1,0.1,210,-3,0
C,1,1,1,0.1,210,-3,1
C,1,1,1,0.1,210,-2,0
C,1,1,1,0.1,210,-2,1
C,1,1,1,0.1,210,-1,0
C,1,1,1,0.1,210,-1,1
C,1,1,1,0.1,210,-0.5,0
C,1,1,1,0.1,210,-0.5,1
C,1,1,1,0.1,210,0.5,0
C,1,1,1,0.1,210,0.5,1
C,1,1,1,0.1,210,1,0
C,1,1,1,0.1,210,1,1
C,1,1,1,0.1,210,2,0
C,1,1,1,0.1,210,2,1
C,1,1,1,0.1,210,3,0
C,1,1,1,0.1,210,3,1
C,1,1,1,0.2,210,-3,0
C,1,1,1,0.2,210,-3,1
C,1,1,1,0.2,210,-2,0
C,1,1,1,0.2,210,-2,1
C,1,1,1,0.2,210,-1,0
C,1,1,1,0.2,210,-1,1
C,1,1,1,0.2,210,-0.5,0
C,1,1,1,0.2,210,-0.5,1
C,1,1,1,0.2,210,0.5,0
C,1,1,1,0.2,210,0.5,1
C,1,1,1,0.2,210,1,0
C,1,1,1,0.2,210,1,1
C,1,1,1,0.2,210,2,0
C,1,1,1,0.2,210,2,1
C,1,1,1,0.2,210,3,0
C,1,1,1,0.2,210,3,1
C,1,1,1,0.3,210,-3,0
C,1,1,1,0.3,210,-3,1
C,1,1,1,0.3,210,-2,0
C,1,1,1,0.3,210,-2,1
C,1,1,1,0.3,210,-1,0
C,1,1,1,0.3,210,-1,1
C,1,1,1,0.3,210,-0.5,0
C,1,1,1,0.3,210,-0.5,1
C,1,1,1,0.3,210,0.5,0
C,1,1,1,0.3,210,0.5,1
C,1,1,1,0.3,210,1,0
C,1,1,1,0.3,210,1,1
C,1,1,1,0.3,210,2,0
C,1,1,1,0.3,210,2,1
C,1,1,1,0.3,210,3,0
C,1,1,1,0.3,210,3,1
C,1,1,1,0.4,210,-3,0
C,1,1,1,0.4,210,-3,1
C,1,1,1,0.4,210,-2,0
C,1,1,1,0.4,210,-2,1
C,1,1,1,0.4,200,-1,0
C,1,1,1,0.4,210,-1,1
C,1,1,1,0.4,200,-0.5,0
C,1,1,1,0.4,210,-0.5,1
C,1,1,1,0.4,200,0.5,0
C,1,1,1,0.4,210,0.5,1
C,1,1,1,0.4,200,1,0
C,1,1,1,0.4,210,1,1
C,1,1,1,0.4,210,2,0
C,1,1,1,0.4,210,2,1
C,1,1,1,0.4,210,3,0
C,1,1,1,0.4,210,3,1
C,1,1,1,0.5,210,-3,0
C,1,1,1,0.5,210,-3,1
C,1,1,1,0.5,200,-2,0
C,1,1,1,0.5,210,-2,1
C,1,1,1,0.5,200,-1,0
C,1,1,1,0.5,210,-1,1
C,1,1,1,0.5,200,-0.5,0
C,1,1,1,0.5,210,-0.5,1
C,1,1,1,0.5,200,0.5,0
C,1,1,1,0.5,210,0.5,1
C,1,1,1,0.5,200,1,0
C,1,1,1,0.5,210,1,1
C,1,1,1,0.5,210,2,0
C,1,1,1,0.5,210,2,1
C,1,1,1,0.5,210,3,0
C,1,1,1,0.5,210,3,1
C,15,8,1,0.9,8843,-3,0
C,15,8,1,0.9,9925,-3,1
C,15,8,1,0.9,8451,-2,0
C,15,8,1,0.9,9751,-2,1
C,15,8,1,0.9,8989,-1,0
C,15,8,1,0.9,9727,-1,1
C,15,8,1,0.9,8875,-0.5,0
C,15,8,1,0.9,9079,-0.5,1
C,15,8,1,0.9,9964,0.5,0
C,15,8,1,0.9,8111,0.5,1
C,15,8,1,0.9,9855,1,0
C,15,8,1,0.9,8425,1,1
C,15,8,1,0.9,10343,2,0
C,15,8,1,0.9,8667,2,1
C,15,8,1,0.9,10062,3,0
C,15,8,1,0.9,8675,3,1
C,1,1,1,0.6,200,-3,0
C,1,1,1,0.6,210,-3,1
C,1,1,1,0.6,200,-2,0
C,1,1,1,0.6,210,-2,1
C,1,1,1,0.6,200,-1,0
C,1,1,1,0.6,210,-1,1
C,1,1,1,0.6,200,-0.5,0
C,1,1,1,0.6,210,-0.5,1
C,1,1,1,0.6,200,0.5,0
C,1,1,1,0.6,210,0.5,1
C,1,1,1,0.6,210,1,0
C,1,1,1,0.6,210,1,1
C,1,1,1,0.6,210,2,0
C,1,1,1,0.6,210,2,1
C,1,1,1,0.6,210,3,0
C,1,1,1,0.6,210,3,1
C,1,1,1,0.7,210,-3,0
C,1,1,1,0.7,210,-3,1
C,1,1,1,0.7,210,-2,0
C,1,1,1,0.7,210,-2,1
C,1,1,1,0.7,200,-1,0
C,1,1,1,0.7,210,-1,1
C,1,1,1,0.7,200,-0.5,0
C,1,1,1,0.7,210,-0.5,1
C,1,1,1,0.7,200,0.5,0
C,1,1,1,0.7,210,0.5,1
C,1,1,1,0.7,210,1,0
C,1,1,1,0.7,210,1,1
C,1,1,1,0.7,209,2,0
C,1,1,1,0.7,210,2,1
C,1,1,1,0.7,210,3,0
C,1,1,1,0.7,210,3,1
C,1,1,1,0.8,200,-3,0
C,1,1,1,0.8,210,-3,1
C,1,1,1,0.8,200,-2,0
C,1,1,1,0.8,210,-2,1
C,1,1,1,0.8,200,-1,0
C,1,1,1,0.8,210,-1,1
C,1,1,1,0.8,200,-0.5,0
C,1,1,1,0.8,210,-0.5,1
C,1,1,1,0.8,200,0.5,0
C,1,1,1,0.8,210,0.5,1
C,1,1,1,0.8,200,1,0
C,1,1,1,0.8,210,1,1
C,1,1,1,0.8,200,2,0
C,1,1,1,0.8,200,2,1
C,1,1,1,0.8,200,3,0
C,1,1,1,0.8,210,3,1
C,1,1,1,0.9,200,-3,0
C,1,1,1,0.9,200,-3,1
C,1,1,1,0.9,200,-2,0
C,1,1,1,0.9,200,-2,1
C,1,1,1,0.9,190,-1,0
C,1,1,1,0.9,210,-1,1
C,1,1,1,0.9,190,-0.5,0
C,1,1,1,0.9,210,-0.5,1
C,1,1,1,0.9,190,0.5,0
C,1,1,1,0.9,210,0.5,1
C,1,1,1,0.9,190,1,0
C,1,1,1,0.9,210,1,1
C,1,1,1,0.9,200,2,0
C,1,1,1,0.9,210,2,1
C,1,1,1,0.9,200,3,0
C,1,1,1,0.9,200,3,1
C,15,8,1,0.7,15430,-3,0
C,15,8,1,0.7,15480,-3,1
C,15,8,1,0.7,15420,-2,0
C,15,8,1,0.7,15470,-2,1
C,15,8,1,0.7,15420,-1,0
C,15,8,1,0.7,15460,-1,1
C,15,8,1,0.7,15440,-0.5,0
C,15,8,1,0.7,15460,-0.5,1
C,15,8,1,0.7,15470,0.5,0
C,15,8,1,0.7,15430,0.5,1
C,15,8,1,0.7,15460,1,0
C,15,8,1,0.7,15420,1,1
C,15,8,1,0.7,15480,2,0
C,15,8,1,0.7,15410,2,1
C,15,8,1,0.7,15470,3,0
C,15,8,1,0.7,15420,3,1
C,1,4,1,0.1,220,-3,0
